#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2024-01-01 00:00:00+00:00 2024-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BKL,2024-01-01 00:53,39.00,34.00,82.08,180.00,4.00,0.01,29.93,1013.70,6.00,M,OVC,M,M,M,1300.00,M,M,M,-RA,M,M,M,M,M,M,35.59,KBKL 010053Z 18004KT 6SM -RA OVC013 04/01 A2993 RMK AO2 SLP137 P0001 T00390011,M
BKL,2024-01-01 01:53,39.00,34.00,82.08,180.00,3.00,0.01,29.93,1013.90,8.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,36.69,KBKL 010153Z 18003KT 8SM OVC013 04/01 A2993 RMK AO2 RAE51 SLP139 P0001 T00390011,M
BKL,2024-01-01 02:53,38.00,33.00,82.00,230.00,4.00,T,29.93,1014.00,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,34.43,KBKL 010253Z 23004KT 10SM OVC010 03/01 A2993 RMK AO2 RAB0155E26 SLP140 P0000 60002 T00330006 53004,M
BKL,2024-01-01 03:53,38.00,33.00,82.00,230.00,5.00,T,29.94,1014.20,7.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,M,M,M,M,M,M,33.52,KBKL 010353Z 23005KT 7SM -RA OVC015 03/01 A2994 RMK AO2 RAB01 SLP142 P0000 T00330006,M
BKL,2024-01-01 04:53,38.00,33.00,82.00,230.00,5.00,T,29.95,1014.60,7.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,M,M,M,M,M,M,33.52,KBKL 010453Z 23005KT 7SM -RA OVC015 03/01 A2995 RMK AO2 RAE28B46 SLP146 P0000 T00330006 400500033,M
BKL,2024-01-01 05:53,38.00,33.00,82.00,230.00,5.00,T,29.95,1014.60,7.00,M,OVC,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,33.52,KBKL 010553Z AUTO 23005KT 7SM OVC006 03/01 A2995 RMK AO2 RAE0455 SLP146 P0000 60002 T00330006 10039 20033 50005,M
BKL,2024-01-01 06:53,39.00,34.00,82.08,240.00,7.00,0.01,29.96,1014.90,6.00,M,OVC,M,M,M,600.00,M,M,M,-RA,M,M,M,M,M,M,33.31,KBKL 010653Z AUTO 24007KT 6SM -RA OVC006 04/01 A2996 RMK AO2 RAB0554 SLP149 P0001 T00390011,M
BKL,2024-01-01 07:53,40.00,35.00,82.15,280.00,10.00,T,29.97,1015.30,9.00,M,SCT,OVC,M,M,700.00,1600.00,M,M,M,M,M,M,M,M,M,33.00,KBKL 010753Z AUTO 28010KT 9SM SCT007 OVC016 04/02 A2997 RMK AO2 RAE38 SLP153 P0000 T00440017,M
BKL,2024-01-01 08:53,40.00,35.00,82.15,290.00,14.00,0.00,29.98,1015.70,7.00,M,BKN,BKN,OVC,M,800.00,1100.00,1900.00,M,M,M,M,M,M,M,M,31.47,KBKL 010853Z AUTO 29014KT 7SM BKN008 BKN011 OVC019 04/02 A2998 RMK AO2 CIG 006V009 SLP157 60001 T00440017 53011,M
BKL,2024-01-01 09:53,38.00,34.00,85.35,230.00,6.00,0.04,29.99,1016.00,7.00,M,SCT,OVC,M,M,700.00,1000.00,M,M,M,M,M,M,M,M,M,32.76,KBKL 010953Z AUTO 23006KT 7SM SCT007 OVC010 03/01 A2999 RMK AO2 RAB02E41 SLP160 P0004 T00330011,M
BKL,2024-01-01 10:53,40.00,35.00,82.15,350.00,10.00,0.00,30.01,1016.70,10.00,M,FEW,OVC,M,M,900.00,2100.00,M,M,M,M,M,M,M,M,M,33.00,KBKL 011053Z AUTO 35010KT 10SM FEW009 OVC021 04/02 A3001 RMK AO2 SLP167 T00440017,M
BKL,2024-01-01 11:53,39.00,34.00,82.08,360.00,12.00,0.00,30.04,1017.60,9.00,M,OVC,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,30.91,KBKL 011153Z 36012KT 9SM OVC010 04/01 A3004 RMK AO2 CIG 007V012 SLP176 60005 70011 T00390011 10050 20033 53019,M
BKL,2024-01-01 12:53,39.00,33.00,78.86,360.00,17.00,T,30.06,1018.50,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,29.25,KBKL 011253Z 36017KT 10SM OVC011 04/01 A3006 RMK AO2 RAB42E52 SLP185 P0000 T00390006,M
BKL,2024-01-01 13:53,38.00,33.00,82.00,360.00,18.00,T,30.10,1019.60,10.00,25.00,OVC,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,27.65,KBKL 011353Z 36018G25KT 10SM OVC010 03/01 A3010 RMK AO2 RAB13E24 SLP196 P0000 T00330006,M
BKL,2024-01-01 14:53,38.00,32.00,78.77,360.00,14.00,0.00,30.13,1020.90,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,28.90,KBKL 011453Z 36014KT 10SM OVC011 03/00 A3013 RMK AO2 SLP209 60000 T00330000 53031,M
BKL,2024-01-01 15:53,37.00,31.00,78.69,350.00,17.00,0.00,30.16,1021.80,10.00,23.00,OVC,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,26.63,KBKL 011553Z 35017G23KT 10SM OVC014 03/M01 A3016 RMK AO2 SLP218 T00281006,M
BKL,2024-01-01 16:53,37.00,29.00,72.54,360.00,14.00,0.00,30.16,1022.00,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,27.61,KBKL 011653Z 36014KT 10SM OVC020 03/M02 A3016 RMK AO2 SLP220 T00281017,M
BKL,2024-01-01 17:53,37.00,29.00,72.54,340.00,10.00,0.00,30.16,1021.70,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,29.24,KBKL 011753Z 34010KT 10SM OVC019 03/M02 A3016 RMK AO2 SLP217 60000 T00281017 10039 20028 50008,M
BKL,2024-01-01 18:53,36.00,28.00,72.43,320.00,13.00,0.00,30.16,1021.90,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,26.69,KBKL 011853Z 32013KT 10SM OVC022 02/M02 A3016 RMK AO2 SLP219 T00221022,M
BKL,2024-01-01 19:53,36.00,28.00,72.43,330.00,12.00,0.00,30.17,1022.30,10.00,M,FEW,OVC,M,M,2200.00,2800.00,M,M,M,M,M,M,M,M,M,27.09,KBKL 011953Z 33012KT 10SM FEW022 OVC028 02/M02 A3017 RMK AO2 SLP223 T00221022,M
BKL,2024-01-01 20:53,36.00,27.00,69.51,320.00,11.00,0.00,30.19,1022.90,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,27.52,KBKL 012053Z 32011KT 10SM OVC024 02/M03 A3019 RMK AO2 SLP229 T00221028 53012,M
BKL,2024-01-01 21:53,36.00,27.00,69.51,300.00,14.00,T,30.20,1023.30,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,26.32,KBKL 012153Z 30014KT 10SM OVC027 02/M03 A3020 RMK AO2 SNB00E15 SLP233 P0000 T00221028,M
BKL,2024-01-01 22:53,36.00,25.00,63.98,290.00,9.00,T,30.21,1023.50,10.00,M,FEW,OVC,M,M,2100.00,2600.00,M,M,M,M,M,M,M,M,M,28.49,KBKL 012253Z 29009KT 10SM FEW021 OVC026 02/M04 A3021 RMK AO2 SNB00E07B27E37 SLP235 P0000 T00221039,M
