#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2024-01-01 00:00:00+00:00 2024-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CGF,2024-01-01 00:45,35.60,35.60,100.00,210.00,3.00,0.00,29.92,M,3.50,M,SCT,OVC,M,M,800.00,1700.00,M,M,-RA,M,M,M,M,M,M,32.80,KCGF 010045Z 21003KT 3 1/2SM -RA SCT008 OVC017 02/02 A2992,M
CGF,2024-01-01 01:45,35.60,35.60,100.00,200.00,3.00,0.00,29.93,M,5.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,M,M,M,M,M,M,32.80,KCGF 010145Z 20003KT 5SM -RA OVC015 02/02 A2993,M
CGF,2024-01-01 02:45,35.60,35.60,100.00,0.00,0.00,0.00,29.93,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,-RA,M,M,M,M,M,M,35.60,KCGF 010245Z 00000KT 5SM -RA OVC011 02/02 A2993,M
CGF,2024-01-01 03:45,35.60,35.60,100.00,0.00,0.00,0.00,29.93,M,5.00,M,BKN,OVC,M,M,1100.00,4000.00,M,M,-RA,M,M,M,M,M,M,35.60,KCGF 010345Z 00000KT 5SM -RA BKN011 OVC040 02/02 A2993,M
CGF,2024-01-01 04:55,35.20,34.70,98.03,250.00,5.00,0.01,29.96,M,5.00,M,OVC,M,M,M,700.00,M,M,M,-RA BR,M,M,M,M,M,M,30.20,KCGF 010455Z AUTO 25005KT 5SM -RA BR OVC007 02/02 A2996 RMK AO2 P0001 T00180015,M
CGF,2024-01-01 05:55,35.20,34.70,98.03,250.00,3.00,0.00,29.96,M,5.00,M,OVC,M,M,M,500.00,M,M,M,-DZ BR,M,M,M,M,M,M,32.35,KCGF 010555Z AUTO 25003KT 5SM -DZ BR OVC005 02/02 A2996 RMK AO2 T00180015 10023 20018 60004,M
CGF,2024-01-01 06:55,35.40,35.00,98.42,250.00,6.00,0.01,29.97,M,3.50,M,OVC,M,M,M,300.00,M,M,M,-DZ BR,M,M,M,M,M,M,29.63,KCGF 010655Z AUTO 25006KT 3 1/2SM -DZ BR OVC003 02/02 A2997 RMK AO2 P0001 T00190017,M
CGF,2024-01-01 07:55,35.60,35.20,98.42,220.00,7.00,0.01,29.98,M,5.00,M,OVC,M,M,M,300.00,M,M,M,-DZ BR,M,M,M,M,M,M,29.17,KCGF 010755Z AUTO 22007KT 5SM -DZ BR OVC003 02/02 A2998 RMK AO2 P0001 T00200018,M
CGF,2024-01-01 08:55,34.00,33.60,98.41,210.00,5.00,0.02,29.99,M,5.00,M,OVC,M,M,M,800.00,M,M,M,-RA BR,M,M,M,M,M,M,28.77,KCGF 010855Z AUTO 21005KT 5SM -RA BR OVC008 01/01 A2999 RMK AO2 P0002 T00110009 60004,M
CGF,2024-01-01 09:55,35.20,35.00,99.21,270.00,3.00,0.05,30.00,M,5.00,M,SCT,OVC,M,M,600.00,1000.00,M,M,-RA BR,M,M,M,M,M,M,32.35,KCGF 010955Z AUTO 27003KT 5SM -RA BR SCT006 OVC010 02/02 A3000 RMK AO2 P0005 T00180016,M
