#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2024-01-01 00:00:00+00:00 2024-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CLE,2024-01-01 00:51,37.00,34.00,88.78,0.00,0.00,0.03,29.91,1015.00,5.00,M,OVC,M,M,M,700.00,M,M,M,-RA BR,M,M,M,M,M,M,37.00,KCLE 010051Z 00000KT 5SM -RA BR OVC007 03/01 A2991 RMK AO2 SLP150 P0003 T00280011,M
CLE,2024-01-01 01:51,36.00,34.00,92.35,0.00,0.00,0.03,29.91,1015.10,5.00,M,FEW,OVC,M,M,700.00,1300.00,M,M,-RA BR,T,M,M,M,M,M,36.00,KCLE 010151Z 00000KT 5SM -RA BR FEW007 OVC013 02/01 A2991 RMK AO2 SLP151 P0003 I1000 T00220011,M
CLE,2024-01-01 02:51,36.00,34.00,92.35,0.00,0.00,0.02,29.92,1015.30,7.00,M,OVC,M,M,M,1400.00,M,M,M,-RA,M,T,M,M,M,M,36.00,KCLE 010251Z 00000KT 7SM -RA OVC014 02/01 A2992 RMK AO2 SLP153 P0002 60008 I3000 T00220011 53003,M
CLE,2024-01-01 03:51,35.00,33.00,92.32,240.00,3.00,0.02,29.92,1015.50,5.00,M,FEW,BKN,OVC,M,700.00,1800.00,2300.00,M,-RA BR,T,M,M,M,M,M,32.12,KCLE 010351Z 24003KT 5SM -RA BR FEW007 BKN018 OVC023 02/01 A2992 RMK AO2 SLP155 P0002 I1000 T00170006,M
CLE,2024-01-01 04:51,36.00,33.00,88.73,260.00,4.00,0.01,29.93,1015.90,6.00,M,OVC,M,M,M,400.00,M,M,M,-RASN BR,M,M,M,M,M,M,32.09,KCLE 010451Z 26004KT 6SM -RASN BR OVC004 02/01 A2993 RMK AO2 SNB06 SLP159 P0001 T00220006 400390017,M
CLE,2024-01-01 05:51,35.00,33.00,92.32,260.00,4.00,0.01,29.93,1015.90,5.00,M,OVC,M,M,M,400.00,M,M,M,-RASN BR,M,M,T,M,M,M,30.92,KCLE 010551Z 26004KT 5SM -RASN BR OVC004 02/01 A2993 RMK AO2 SLP159 P0001 60012 I6000 T00170006 10028 20017 51004,M
CLE,2024-01-01 06:51,35.00,33.00,92.32,260.00,7.00,0.01,29.95,1016.30,6.00,M,OVC,M,M,M,300.00,M,M,M,-RASN BR,M,M,M,M,M,M,28.44,KCLE 010651Z 26007KT 6SM -RASN BR OVC003 02/01 A2995 RMK AO2 SLP163 P0001 T00170006,M
CLE,2024-01-01 07:51,35.00,33.00,92.32,230.00,7.00,T,29.96,1016.90,9.00,M,OVC,M,M,M,500.00,M,M,M,-RASN,M,M,M,M,M,M,28.44,KCLE 010751Z 23007KT 9SM -RASN OVC005 02/01 A2996 RMK AO2 SLP169 P0000 T00170006,M
CLE,2024-01-01 08:51,35.00,33.00,92.32,250.00,7.00,0.01,29.97,1017.30,7.00,M,OVC,M,M,M,400.00,M,M,M,-RASN,M,M,M,M,M,M,28.44,KCLE 010851Z 25007KT 7SM -RASN OVC004 02/01 A2997 RMK AO2 SLP173 P0001 60002 T00170006 53013,M
CLE,2024-01-01 09:51,35.00,34.00,96.09,250.00,5.00,T,29.98,1017.40,6.00,M,OVC,M,M,M,400.00,M,M,M,BR,M,M,M,M,M,M,29.96,KCLE 010951Z 25005KT 6SM BR OVC004 02/01 A2998 RMK AO2 RAE05B39E51SNE05 SLP174 P0000 T00170011,M
CLE,2024-01-01 10:51,34.00,32.00,92.29,220.00,4.00,0.08,30.00,1018.10,2.50,M,BKN,OVC,M,M,400.00,1000.00,M,M,-RASN BR,M,M,M,M,M,M,29.76,KCLE 011051Z 22004KT 2 1/2SM -RASN BR BKN004 OVC010 01/00 A3000 RMK AO2 RAB0957SNB07 SLP181 P0008 T00110000,M
CLE,2024-01-01 11:51,37.00,34.00,88.78,350.00,8.00,0.01,30.02,1018.90,3.00,M,OVC,M,M,M,500.00,M,M,M,-RASN BR,M,M,M,M,M,M,30.27,KCLE 011151Z 35008KT 3SM -RASN BR OVC005 03/01 A3002 RMK AO2 SFC VIS 4 RAE19B36SNE19B42 SLP189 P0001 60011 70031 T00280011 10028 20006 53016,M
