"Site1","Site2","r_squared","distance_km"
"39-035-0034","39-035-0060",0.750907023944986,18.2651451331667
"39-035-0060","39-085-0003",0.802327321463759,11.1052890899556
"39-035-5002","39-085-0003",0.738666708361594,18.9708497368184
"39-055-0004","39-085-0003",0.575026596900104,35.8181597573664
"39-035-0034","39-085-0003",0.791297012132669,29.3230518269071
"39-035-0064","39-085-0003",0.744712391925623,44.7352449409642
"39-035-0060","39-085-0007",0.710159718906841,32.3427167784116
"39-085-0003","39-085-0007",0.875420025575703,21.2525588433318
"39-035-5002","39-085-0007",0.773711507160923,39.0621221773254
"39-055-0004","39-085-0007",0.633229373547702,54.0564073222099
"39-035-0034","39-085-0007",0.798356449804853,50.575169797067
"39-035-0064","39-085-0007",0.714746184538067,65.8774635002688
"39-035-0060","39-035-5002",0.705793400190711,9.90790819644502
"39-035-0034","39-035-5002",0.805504848490374,15.4469054403251
"39-035-0064","39-035-5002",0.642081925484857,27.7824849003894
"39-035-0060","39-055-0004",0.510259105795036,27.4772579803713
"39-035-5002","39-055-0004",0.840047677990303,17.5847868205717
"39-035-0034","39-055-0004",0.619281829849039,22.7053644344283
"39-035-0064","39-055-0004",0.481034946067433,23.5818361030688
"39-035-0060","39-035-0064",0.763257486038615,33.6559744304323
"39-035-0034","39-035-0064",0.693645322802217,16.1382765165666
"39-035-0060","39-093-0018",0.74049605222357,45.9059684619801
"39-085-0003","39-093-0018",0.759557747595474,35.7050732600125
"39-085-0007","39-093-0018",0.702629379649744,20.3931464192106
"39-035-5002","39-093-0018",0.608494102080824,54.662883529646
"39-055-0004","39-093-0018",0.457290815498984,71.3281944767645
"39-035-0034","39-093-0018",0.658948452817722,62.7219572934421
"39-035-0064","39-093-0018",0.826016097383167,78.8204424520076
"39-035-0060","39-103-0004",0.708280230691336,62.3232906596732
"39-085-0003","39-103-0004",0.674440469625187,52.2616954611721
"39-085-0007","39-103-0004",0.6097675323123,33.9214373388443
"39-035-5002","39-103-0004",0.669914258818939,65.7771756179311
"39-055-0004","39-103-0004",0.585772597368705,75.7615706313591
"39-035-0034","39-103-0004",0.604962316358432,80.0345392475116
"39-035-0064","39-103-0004",0.721258448793437,93.5121637987119
"39-093-0018","39-103-0004",0.645056707570892,42.6284433060375
