hour_time,wd_BKL,ws_BKL,wd_CGF,ws_CGF
2024-01-01 00,180,2.057776,210,1.543332
2024-01-01 01,180,1.543332,200,1.543332
2024-01-01 02,230,2.057776,0,0
2024-01-01 03,230,2.57222,0,0
2024-01-01 04,230,2.57222,250,2.57222
2024-01-01 05,230,2.57222,250,1.543332
2024-01-01 06,240,3.601108,250,3.086664
2024-01-01 07,280,5.14444,220,3.601108
2024-01-01 08,290,7.202216,210,2.57222
2024-01-01 09,230,3.086664,270,1.543332
2024-01-01 10,350,5.14444,330,2.57222
2024-01-01 11,360,6.173328,360,2.57222
2024-01-01 12,360,8.745548,10,3.086664
2024-01-01 13,360,9.259992,360,5.14444
2024-01-01 14,360,7.202216,20,6.173328
2024-01-01 15,350,8.745548,360,3.601108
2024-01-01 16,360,7.202216,360,3.601108
2024-01-01 17,340,5.14444,10,3.601108
2024-01-01 18,320,6.687772,340,3.086664
2024-01-01 19,330,6.173328,340,3.086664
2024-01-01 20,320,5.6588840000000005,330,3.086664
2024-01-01 21,300,7.202216,320,3.086664
2024-01-01 22,290,4.629996,320,3.086664
2024-01-01 23,310,4.115552,300,2.57222
2024-01-02 00,280,5.14444,310,4.115552
2024-01-02 01,300,5.14444,300,2.57222
2024-01-02 02,290,4.629996,260,3.601108
2024-01-02 03,280,3.601108,280,2.57222
2024-01-02 04,250,4.629996,260,2.057776
2024-01-02 05,210,4.629996,270,3.086664
2024-01-02 06,240,5.6588840000000005,240,3.601108
2024-01-02 07,240,6.687772,240,4.629996
2024-01-02 08,210,5.14444,230,4.629996
2024-01-02 09,230,7.71666,240,5.14444
2024-01-02 10,250,8.745548,250,5.14444
2024-01-02 11,230,7.71666,270,5.6588840000000005
2024-01-02 12,240,5.6588840000000005,250,4.629996
2024-01-02 13,230,5.14444,250,5.6588840000000005
2024-01-02 14,230,6.687772,250,6.687772
2024-01-02 15,230,7.71666,240,5.14444
2024-01-02 16,210,6.173328,230,7.202216
2024-01-02 17,220,6.173328,220,5.6588840000000005
2024-01-02 18,230,8.231104,240,5.6588840000000005
2024-01-02 19,220,7.202216,240,7.202216
2024-01-02 20,230,9.774436,240,7.202216
2024-01-02 21,230,6.687772,240,6.173328
2024-01-02 22,220,8.231104,240,5.6588840000000005
2024-01-02 23,210,6.687772,240,8.231104
2024-01-03 00,220,4.629996,230,7.202216
2024-01-03 01,220,5.6588840000000005,230,4.629996
2024-01-03 02,230,5.6588840000000005,230,4.115552
2024-01-03 03,220,4.629996,240,3.601108
2024-01-03 04,220,6.687772,230,4.115552
2024-01-03 05,210,5.6588840000000005,220,6.173328
2024-01-03 06,210,5.6588840000000005,230,5.6588840000000005
2024-01-03 07,230,5.14444,220,3.086664
2024-01-03 08,220,5.14444,220,5.14444
2024-01-03 09,220,5.14444,220,4.629996
2024-01-03 10,220,5.14444,230,4.115552
2024-01-03 11,210,3.601108,230,3.086664
2024-01-03 12,190,3.601108,220,4.115552
2024-01-03 13,200,5.14444,210,4.115552
2024-01-03 14,210,4.629996,210,4.115552
2024-01-03 15,210,5.14444,220,4.115552
2024-01-03 16,210,6.173328,230,3.601108
2024-01-03 17,240,5.14444,260,6.173328
2024-01-03 18,230,5.6588840000000005,280,4.115552
2024-01-03 19,250,6.687772,270,5.14444
2024-01-03 20,230,5.14444,260,5.14444
2024-01-03 21,220,5.6588840000000005,260,5.6588840000000005
2024-01-03 22,210,4.629996,240,5.6588840000000005
2024-01-03 23,240,6.173328,250,2.57222
2024-01-04 00,260,7.71666,260,4.629996
2024-01-04 01,230,5.14444,290,2.57222
2024-01-04 02,270,8.231104,260,4.115552
2024-01-04 03,280,4.629996,300,2.057776
2024-01-04 04,260,6.173328,240,3.086664
2024-01-04 05,300,6.173328,310,3.601108
2024-01-04 06,330,10.28888,360,3.086664
2024-01-04 07,330,11.317768000000001,330,4.115552
2024-01-04 08,340,7.71666,330,3.086664
2024-01-04 09,330,9.259992,360,4.115552
2024-01-04 10,330,9.774436,320,4.115552
2024-01-04 11,340,8.745548,10,6.687772
2024-01-04 12,330,9.774436,330,4.629996
2024-01-04 13,350,7.71666,350,3.601108
2024-01-04 14,350,6.687772,340,3.601108
2024-01-04 15,340,5.6588840000000005,340,5.14444
2024-01-04 16,320,6.173328,350,3.086664
2024-01-04 17,340,5.6588840000000005,350,3.086664
2024-01-04 18,300,4.115552,300,2.57222
2024-01-04 19,330,3.601108,330,2.57222
2024-01-04 20,300,2.057776,310,3.601108
2024-01-04 21,260,2.57222,320,3.086664
2024-01-04 22,270,4.115552,0,0
2024-01-04 23,260,3.601108,270,3.086664
2024-01-05 00,280,3.601108,290,4.115552
2024-01-05 01,220,4.629996,250,3.601108
2024-01-05 02,210,4.115552,230,3.601108
2024-01-05 03,210,2.57222,240,3.086664
2024-01-05 04,210,4.629996,230,3.601108
2024-01-05 05,210,4.115552,220,4.115552
2024-01-05 06,180,4.115552,220,3.601108
2024-01-05 07,180,5.14444,210,3.601108
2024-01-05 08,190,5.14444,200,3.601108
2024-01-05 09,200,4.629996,200,3.601108
2024-01-05 10,190,3.086664,190,3.086664
2024-01-05 11,230,3.601108,220,3.601108
2024-01-05 12,190,3.086664,180,2.057776
2024-01-05 13,190,5.14444,220,3.601108
2024-01-05 14,180,4.629996,200,2.57222
2024-01-05 15,190,4.115552,210,3.086664
2024-01-05 16,210,3.601108,230,3.601108
2024-01-05 17,290,2.57222,300,2.057776
2024-01-05 18,310,2.057776,0,0
2024-01-05 19,340,2.057776,230,1.543332
2024-01-05 20,300,2.057776,0,0
2024-01-05 21,320,2.057776,340,1.543332
2024-01-05 22,0,0,0,0
2024-01-05 23,0,0,0,0
2024-01-06 00,70,1.543332,0,0
2024-01-06 01,90,2.057776,110,1.543332
2024-01-06 02,90,2.57222,100,1.543332
2024-01-06 03,90,2.057776,100,1.543332
2024-01-06 04,120,1.543332,100,1.543332
2024-01-06 05,90,3.086664,90,2.57222
2024-01-06 06,90,2.57222,90,2.057776
2024-01-06 07,0,0,120,3.086664
2024-01-06 08,60,3.086664,100,1.543332
2024-01-06 09,70,2.057776,0,0
2024-01-06 10,80,2.57222,120,2.057776
2024-01-06 11,70,2.57222,120,2.57222
2024-01-06 12,100,2.057776,130,2.057776
2024-01-06 13,70,2.57222,120,3.086664
2024-01-06 14,120,2.057776,120,3.601108
2024-01-06 15,0,0,120,3.086664
2024-01-06 16,110,2.057776,110,4.629996
2024-01-06 17,100,3.086664,110,3.086664
2024-01-06 18,50,1.543332,110,3.601108
2024-01-06 19,0,0,60,1.543332
2024-01-06 20,50,2.57222,50,2.57222
2024-01-06 21,50,2.057776,50,1.543332
2024-01-06 22,60,2.57222,50,2.057776
2024-01-06 23,60,2.57222,10,2.057776
2024-01-07 00,80,2.057776,0,0
2024-01-07 01,130,2.057776,120,1.543332
2024-01-07 02,160,1.543332,0,0
2024-01-07 03,230,2.057776,0,0
2024-01-07 04,230,3.086664,240,1.543332
2024-01-07 05,240,3.086664,250,2.57222
2024-01-07 06,240,3.601108,250,2.57222
2024-01-07 07,250,4.629996,250,3.086664
2024-01-07 08,250,5.6588840000000005,240,4.115552
2024-01-07 09,240,6.687772,250,4.115552
2024-01-07 10,250,5.6588840000000005,250,4.629996
2024-01-07 11,240,5.6588840000000005,270,3.601108
2024-01-07 12,240,4.629996,270,3.601108
2024-01-07 13,240,4.629996,270,3.601108
2024-01-07 14,220,4.629996,270,3.601108
2024-01-07 15,220,4.629996,240,3.601108
2024-01-07 16,230,4.629996,260,4.629996
2024-01-07 17,250,4.629996,260,4.115552
2024-01-07 18,260,6.173328,270,4.115552
2024-01-07 19,270,8.745548,270,5.6588840000000005
2024-01-07 20,260,8.745548,270,5.14444
2024-01-07 21,260,7.202216,280,5.14444
2024-01-07 22,260,7.71666,280,6.687772
2024-01-07 23,250,7.71666,270,6.687772
2024-01-08 00,250,8.231104,280,7.202216
2024-01-08 01,260,9.259992,280,6.173328
2024-01-08 02,270,9.259992,300,6.687772
2024-01-08 03,290,6.687772,290,5.14444
2024-01-08 04,260,8.231104,300,3.601108
2024-01-08 05,240,6.173328,250,5.14444
2024-01-08 06,240,6.687772,250,5.14444
2024-01-08 07,240,6.173328,260,5.14444
2024-01-08 08,230,5.14444,250,3.601108
2024-01-08 09,230,5.14444,240,2.57222
2024-01-08 10,240,5.14444,240,3.601108
2024-01-08 11,230,5.6588840000000005,260,4.115552
2024-01-08 12,210,3.601108,250,3.601108
2024-01-08 13,220,3.086664,240,3.086664
2024-01-08 14,210,2.57222,250,2.57222
2024-01-08 15,180,3.086664,220,2.57222
2024-01-08 16,190,3.601108,190,2.057776
2024-01-08 17,150,3.086664,190,3.086664
2024-01-08 18,140,3.601108,190,3.086664
2024-01-08 19,160,3.601108,170,3.086664
2024-01-08 20,110,5.14444,140,4.115552
2024-01-08 21,130,3.086664,150,2.57222
2024-01-08 22,90,2.57222,90,1.543332
2024-01-08 23,60,3.086664,90,2.57222
2024-01-09 00,80,2.57222,0,0
2024-01-09 01,90,3.086664,110,3.601108
2024-01-09 02,110,5.14444,130,3.601108
2024-01-09 03,120,3.601108,130,4.115552
2024-01-09 04,120,6.173328,120,4.629996
2024-01-09 05,130,4.629996,120,4.629996
2024-01-09 06,120,4.115552,120,4.629996
2024-01-09 07,130,5.6588840000000005,130,5.6588840000000005
2024-01-09 08,140,7.71666,140,6.173328
2024-01-09 09,140,8.231104,140,7.202216
2024-01-09 10,120,4.115552,120,3.601108
2024-01-09 11,130,5.6588840000000005,130,5.14444
2024-01-09 13,140,8.231104,140,9.774436
2024-01-09 14,130,8.745548,140,10.803324
2024-01-09 15,140,10.28888,140,11.832212
2024-01-09 16,140,10.803324,150,8.745548
2024-01-09 17,140,10.803324,140,10.803324
2024-01-09 18,140,9.774436,140,10.28888
2024-01-09 19,140,9.259992,140,7.71666
2024-01-09 20,130,10.803324,150,8.231104
2024-01-09 21,140,10.28888,150,8.745548
2024-01-09 22,150,8.745548,150,6.173328
2024-01-09 23,140,8.745548,150,7.202216
2024-01-10 00,160,7.202216,180,5.14444
2024-01-10 01,220,6.687772,240,8.745548
2024-01-10 02,200,7.71666,230,6.173328
2024-01-10 03,200,9.774436,220,9.774436
2024-01-10 04,210,11.317768000000001,210,11.832212
2024-01-10 05,210,9.774436,210,8.745548
2024-01-10 06,190,7.71666,220,7.71666
2024-01-10 07,210,7.71666,220,8.745548
2024-01-10 08,220,13.375544,220,9.774436
2024-01-10 09,210,7.71666,220,6.173328
2024-01-10 10,210,10.28888,220,9.774436
2024-01-10 11,220,10.28888,230,8.231104
2024-01-10 12,250,10.28888,250,8.745548
2024-01-10 13,270,16.976652,270,11.832212
2024-01-10 14,260,15.947764000000001,270,10.28888
2024-01-10 15,250,13.375544,270,9.774436
2024-01-10 16,260,14.918876000000001,270,13.375544
2024-01-10 17,260,11.317768000000001,270,14.404432
2024-01-10 18,260,14.918876000000001,270,13.889988
2024-01-10 19,250,13.375544,260,13.889988
2024-01-10 20,250,10.28888,270,11.832212
2024-01-10 21,240,9.774436,260,8.745548
2024-01-10 22,230,9.259992,260,7.202216
2024-01-10 23,230,8.745548,250,7.71666
2024-01-11 00,220,9.259992,250,6.687772
2024-01-11 01,240,8.231104,250,7.202216
2024-01-11 02,240,6.173328,260,5.6588840000000005
2024-01-11 03,180,2.57222,250,2.57222
2024-01-11 04,210,2.57222,210,3.086664
2024-01-11 05,220,5.14444,220,3.086664
2024-01-11 06,210,5.14444,210,3.601108
2024-01-11 07,220,3.601108,210,4.115552
2024-01-11 08,190,4.629996,220,4.629996
2024-01-11 09,180,3.601108,170,3.601108
2024-01-11 10,160,5.14444,160,3.086664
2024-01-11 11,150,6.173328,170,3.601108
2024-01-11 12,160,6.173328,180,5.14444
2024-01-11 13,170,5.6588840000000005,180,3.601108
2024-01-11 14,180,6.687772,200,4.629996
2024-01-11 15,190,6.687772,200,4.629996
2024-01-11 16,220,7.71666,230,6.173328
2024-01-11 17,240,8.231104,250,7.202216
2024-01-11 18,230,8.745548,250,7.202216
2024-01-11 19,240,10.28888,250,7.71666
2024-01-11 20,240,10.28888,250,7.71666
2024-01-11 21,240,7.71666,260,7.71666
2024-01-11 22,250,10.28888,270,7.202216
2024-01-11 23,230,7.71666,260,6.687772
2024-01-12 00,240,6.173328,260,5.14444
2024-01-12 01,220,4.629996,240,5.14444
2024-01-12 02,220,5.14444,240,4.115552
2024-01-12 03,220,4.115552,240,2.57222
2024-01-12 04,220,4.629996,220,2.57222
2024-01-12 05,200,1.543332,200,3.601108
2024-01-12 06,160,3.601108,130,1.543332
2024-01-12 07,130,4.115552,130,2.057776
2024-01-12 08,140,3.601108,130,1.543332
2024-01-12 09,120,3.086664,100,2.57222
2024-01-12 10,130,2.57222,120,3.601108
2024-01-12 11,120,5.14444,140,4.629996
2024-01-12 12,110,4.629996,120,5.14444
2024-01-12 13,130,5.14444,130,4.629996
2024-01-12 14,120,5.6588840000000005,130,5.14444
2024-01-12 15,110,5.14444,130,7.71666
2024-01-12 16,120,7.71666,140,8.745548
2024-01-12 17,130,7.71666,140,7.71666
2024-01-12 18,130,7.202216,130,6.173328
2024-01-12 19,130,6.687772,130,6.687772
2024-01-12 20,130,9.774436,150,10.803324
2024-01-12 21,120,6.687772,130,6.687772
2024-01-12 22,130,10.803324,140,10.803324
2024-01-12 23,140,12.8611,150,10.803324
2024-01-13 00,140,12.346656,160,10.28888
2024-01-13 01,150,12.346656,160,9.259992
2024-01-13 02,150,8.745548,170,8.231104
2024-01-13 03,170,9.774436,180,6.687772
2024-01-13 04,190,7.202216,200,8.231104
2024-01-13 05,180,7.202216,190,5.14444
2024-01-13 06,180,5.6588840000000005,190,5.14444
2024-01-13 07,200,7.202216,220,6.687772
2024-01-13 08,230,12.346656,250,8.231104
2024-01-13 09,230,11.317768000000001,230,9.259992
2024-01-13 10,220,12.8611,220,11.832212
2024-01-13 11,220,14.918876000000001,250,12.346656
2024-01-13 12,220,10.803324,240,12.8611
2024-01-13 13,220,11.317768000000001,240,12.8611
2024-01-13 14,210,12.8611,230,11.317768000000001
2024-01-13 15,210,11.832212,230,11.832212
2024-01-13 17,220,14.404432,250,12.8611
2024-01-13 18,220,10.28888,240,11.832212
2024-01-13 20,230,12.346656,240,10.803324
2024-01-13 21,220,11.832212,240,10.803324
2024-01-13 22,220,10.803324,240,10.803324
2024-01-14 02,210,12.8611,240,8.231104
2024-01-14 03,220,11.317768000000001,240,8.231104
2024-01-14 04,210,10.28888,240,9.259992
2024-01-14 05,220,7.71666,230,8.745548
2024-01-14 06,210,7.71666,230,8.231104
2024-01-14 07,220,8.745548,240,7.71666
2024-01-14 08,220,7.71666,240,8.745548
2024-01-14 09,230,11.317768000000001,240,10.803324
2024-01-14 10,240,14.918876000000001,240,11.317768000000001
2024-01-14 11,240,11.832212,260,9.259992
2024-01-14 14,230,11.832212,250,11.832212
2024-01-14 15,220,11.832212,250,11.832212
2024-01-14 16,230,10.803324,250,10.28888
2024-01-14 17,240,10.803324,250,9.259992
2024-01-14 18,210,8.231104,250,9.259992
2024-01-14 19,220,10.28888,250,9.774436
2024-01-14 20,230,8.231104,250,9.774436
2024-01-14 21,210,6.687772,230,6.687772
2024-01-14 22,220,6.173328,230,6.173328
2024-01-14 23,220,7.71666,250,6.173328
2024-01-15 00,220,6.173328,260,7.71666
2024-01-15 01,230,7.202216,250,6.173328
2024-01-15 02,210,4.629996,230,4.115552
2024-01-15 03,200,5.6588840000000005,220,3.601108
2024-01-15 04,210,5.6588840000000005,210,6.687772
2024-01-15 05,210,5.6588840000000005,210,5.14444
2024-01-15 06,210,5.6588840000000005,220,3.601108
2024-01-15 07,210,4.115552,230,3.601108
2024-01-15 08,210,5.14444,210,3.086664
2024-01-15 09,210,6.173328,210,3.086664
2024-01-15 10,220,4.629996,220,2.57222
2024-01-15 11,210,5.14444,220,2.057776
2024-01-15 12,220,4.629996,240,2.57222
2024-01-15 13,220,3.601108,230,4.115552
2024-01-15 14,200,3.086664,240,4.115552
2024-01-15 15,210,4.629996,220,3.086664
2024-01-15 16,200,4.629996,220,2.57222
2024-01-15 17,210,3.086664,230,4.115552
2024-01-15 18,230,5.14444,240,3.601108
2024-01-15 19,220,4.115552,240,5.14444
2024-01-15 20,230,3.086664,250,4.629996
2024-01-15 21,210,3.086664,260,3.601108
2024-01-15 22,210,4.115552,230,2.057776
2024-01-15 23,220,3.601108,240,3.601108
2024-01-16 00,220,5.6588840000000005,230,3.086664
2024-01-16 01,220,3.086664,250,3.601108
2024-01-16 02,240,3.086664,250,2.57222
2024-01-16 03,210,4.115552,240,4.115552
2024-01-16 04,220,4.115552,250,3.086664
2024-01-16 05,210,4.115552,220,3.086664
2024-01-16 06,220,3.601108,230,3.086664
2024-01-16 07,220,4.629996,220,3.601108
2024-01-16 08,180,4.115552,210,3.086664
2024-01-16 09,210,5.14444,220,4.629996
2024-01-16 10,210,6.173328,220,3.601108
2024-01-16 11,200,4.115552,230,5.14444
2024-01-16 12,220,5.14444,210,4.629996
2024-01-16 13,220,6.173328,240,5.14444
2024-01-16 14,230,8.231104,240,6.687772
2024-01-16 15,220,7.202216,240,6.687772
2024-01-16 16,240,7.202216,230,5.6588840000000005
2024-01-16 17,240,7.202216,280,6.687772
2024-01-16 18,220,7.71666,230,6.687772
2024-01-16 19,220,7.71666,260,6.687772
2024-01-16 20,220,7.202216,270,6.687772
2024-01-16 21,220,7.202216,250,6.687772
2024-01-16 22,220,6.687772,240,5.14444
2024-01-16 23,220,8.745548,230,4.629996
2024-01-17 00,210,7.71666,250,7.71666
2024-01-17 01,220,7.202216,250,7.71666
2024-01-17 02,220,6.173328,240,9.259992
2024-01-17 03,240,9.774436,240,7.71666
2024-01-17 04,230,8.231104,240,8.231104
2024-01-17 05,230,9.774436,230,8.745548
2024-01-17 06,230,10.28888,230,9.774436
2024-01-17 07,220,9.259992,230,9.774436
2024-01-17 08,220,7.71666,230,8.231104
2024-01-17 09,210,7.202216,230,6.173328
2024-01-17 10,220,6.173328,220,6.173328
2024-01-17 11,210,4.629996,230,5.14444
2024-01-17 12,200,5.6588840000000005,230,5.14444
2024-01-17 13,190,8.231104,220,6.173328
2024-01-17 14,200,7.71666,220,8.231104
2024-01-17 15,190,7.71666,220,7.71666
2024-01-17 16,200,8.231104,230,8.231104
2024-01-17 17,200,8.745548,230,9.259992
2024-01-17 18,210,6.687772,220,6.173328
2024-01-17 19,210,7.71666,220,7.71666
2024-01-17 20,210,10.28888,230,5.6588840000000005
2024-01-17 21,220,7.71666,230,8.231104
2024-01-17 22,210,5.14444,230,6.173328
2024-01-17 23,210,5.6588840000000005,230,6.173328
2024-01-18 00,190,6.173328,230,5.6588840000000005
2024-01-18 01,190,6.173328,220,5.6588840000000005
2024-01-18 02,190,5.6588840000000005,220,5.6588840000000005
2024-01-18 03,190,5.6588840000000005,220,5.6588840000000005
2024-01-18 04,200,5.14444,210,4.115552
2024-01-18 05,190,6.173328,230,5.14444
2024-01-18 06,210,6.687772,230,6.687772
2024-01-18 07,220,6.173328,230,5.6588840000000005
2024-01-18 08,220,6.173328,230,8.231104
2024-01-18 09,200,3.601108,220,5.6588840000000005
2024-01-18 10,190,5.6588840000000005,200,4.115552
2024-01-18 11,180,4.629996,180,3.086664
2024-01-18 12,170,5.6588840000000005,200,4.115552
2024-01-18 13,190,6.173328,200,4.115552
2024-01-18 14,200,5.6588840000000005,220,5.14444
2024-01-18 15,200,5.6588840000000005,220,4.629996
2024-01-18 16,200,5.6588840000000005,220,4.115552
2024-01-18 17,190,5.14444,220,5.14444
2024-01-18 18,220,3.601108,240,4.115552
2024-01-18 19,240,4.629996,280,2.057776
2024-01-18 20,260,4.115552,290,3.086664
2024-01-18 21,230,2.57222,270,2.057776
2024-01-18 22,220,3.601108,270,2.057776
2024-01-18 23,210,4.629996,240,2.057776
2024-01-19 00,220,3.601108,240,2.057776
2024-01-19 01,210,3.086664,230,2.57222
2024-01-19 02,200,2.57222,230,2.57222
2024-01-19 03,190,2.57222,230,2.57222
2024-01-19 04,170,3.086664,190,2.057776
2024-01-19 05,0,0,220,1.543332
2024-01-19 06,200,1.543332,0,0
2024-01-19 07,180,2.57222,0,0
2024-01-19 08,170,2.57222,0,0
2024-01-19 09,0,0,0,0
2024-01-19 10,60,2.057776,50,3.086664
2024-01-19 11,60,5.14444,50,3.601108
2024-01-19 12,60,4.115552,30,4.115552
2024-01-19 13,360,6.173328,30,3.601108
2024-01-19 14,340,7.202216,10,2.57222
2024-01-19 15,330,8.745548,360,3.601108
2024-01-19 16,330,7.202216,10,3.601108
2024-01-19 17,350,6.173328,30,5.14444
2024-01-19 18,10,4.629996,30,5.14444
2024-01-19 19,360,9.259992,20,5.14444
2024-01-19 20,350,9.259992,20,6.173328
2024-01-19 21,350,7.71666,10,5.14444
2024-01-19 22,330,8.745548,20,4.115552
2024-01-19 23,340,9.259992,330,3.601108
2024-01-20 00,310,8.231104,340,4.115552
2024-01-20 01,310,8.745548,320,5.6588840000000005
2024-01-20 02,310,9.774436,320,5.6588840000000005
2024-01-20 03,310,10.28888,320,5.6588840000000005
2024-01-20 04,300,8.745548,310,5.6588840000000005
2024-01-20 05,310,8.745548,290,5.6588840000000005
2024-01-20 06,300,10.28888,300,6.173328
