hour_time,wd_CLE,ws_CLE,wd_BKL,ws_BKL
2024-01-01 00,0,0,180,2.057776
2024-01-01 01,0,0,180,1.543332
2024-01-01 02,0,0,230,2.057776
2024-01-01 03,240,1.543332,230,2.57222
2024-01-01 04,260,2.057776,230,2.57222
2024-01-01 05,260,2.057776,230,2.57222
2024-01-01 06,260,3.601108,240,3.601108
2024-01-01 07,230,3.601108,280,5.14444
2024-01-01 08,250,3.601108,290,7.202216
2024-01-01 09,250,2.57222,230,3.086664
2024-01-01 10,220,2.057776,350,5.14444
2024-01-01 11,350,4.115552,360,6.173328
2024-01-01 12,360,4.629996,360,8.745548
2024-01-01 13,360,6.173328,360,9.259992
2024-01-01 14,360,6.687772,360,7.202216
2024-01-01 15,360,5.6588840000000005,350,8.745548
2024-01-01 16,340,4.629996,360,7.202216
2024-01-01 17,330,5.6588840000000005,340,5.14444
2024-01-01 18,340,4.629996,320,6.687772
2024-01-01 19,330,5.14444,330,6.173328
2024-01-01 20,310,3.601108,320,5.6588840000000005
2024-01-01 21,300,4.629996,300,7.202216
2024-01-01 22,300,6.173328,290,4.629996
2024-01-01 23,300,4.115552,310,4.115552
2024-01-02 00,320,4.629996,280,5.14444
2024-01-02 01,320,3.086664,300,5.14444
2024-01-02 02,280,2.57222,290,4.629996
2024-01-02 03,270,2.057776,280,3.601108
2024-01-02 04,220,2.057776,250,4.629996
2024-01-02 05,250,3.601108,210,4.629996
2024-01-02 06,240,4.115552,240,5.6588840000000005
2024-01-02 07,240,3.086664,240,6.687772
2024-01-02 08,240,3.086664,210,5.14444
2024-01-02 09,250,5.14444,230,7.71666
2024-01-02 10,250,5.6588840000000005,250,8.745548
2024-01-02 11,250,4.629996,230,7.71666
2024-01-02 12,240,3.601108,240,5.6588840000000005
2024-01-02 13,240,5.6588840000000005,230,5.14444
2024-01-02 14,240,6.173328,230,6.687772
2024-01-02 15,230,5.14444,230,7.71666
2024-01-02 16,250,7.71666,210,6.173328
2024-01-02 17,240,7.202216,220,6.173328
2024-01-02 18,230,6.687772,230,8.231104
2024-01-02 19,240,5.6588840000000005,220,7.202216
2024-01-02 20,240,9.259992,230,9.774436
2024-01-02 21,230,5.6588840000000005,230,6.687772
2024-01-02 22,230,6.687772,220,8.231104
2024-01-02 23,210,6.687772,210,6.687772
2024-01-03 00,220,4.115552,220,4.629996
2024-01-03 01,220,4.115552,220,5.6588840000000005
2024-01-03 02,220,3.086664,230,5.6588840000000005
2024-01-03 03,220,3.601108,220,4.629996
2024-01-03 04,230,5.14444,220,6.687772
2024-01-03 05,230,5.14444,210,5.6588840000000005
2024-01-03 06,230,5.14444,210,5.6588840000000005
2024-01-03 07,230,5.14444,230,5.14444
2024-01-03 08,230,4.629996,220,5.14444
2024-01-03 09,230,2.57222,220,5.14444
2024-01-03 10,220,4.629996,220,5.14444
2024-01-03 11,210,3.601108,210,3.601108
2024-01-03 12,210,3.601108,190,3.601108
2024-01-03 13,210,3.601108,200,5.14444
2024-01-03 14,220,3.086664,210,4.629996
2024-01-03 15,220,3.601108,210,5.14444
2024-01-03 16,220,3.601108,210,6.173328
2024-01-03 17,230,3.601108,240,5.14444
2024-01-03 18,240,4.115552,230,5.6588840000000005
2024-01-03 19,250,4.629996,250,6.687772
2024-01-03 20,240,3.086664,230,5.14444
2024-01-03 21,230,3.086664,220,5.6588840000000005
2024-01-03 22,230,2.57222,210,4.629996
2024-01-03 23,250,3.601108,240,6.173328
2024-01-04 00,260,4.115552,260,7.71666
2024-01-04 01,240,3.086664,230,5.14444
2024-01-04 02,250,3.601108,270,8.231104
2024-01-04 03,300,4.115552,280,4.629996
2024-01-04 04,240,3.086664,260,6.173328
2024-01-04 05,300,3.086664,300,6.173328
2024-01-04 06,320,4.115552,330,10.28888
2024-01-04 07,340,8.231104,330,11.317768000000001
2024-01-04 08,340,4.629996,340,7.71666
2024-01-04 09,340,5.6588840000000005,330,9.259992
2024-01-04 10,330,7.71666,330,9.774436
2024-01-04 11,330,5.6588840000000005,340,8.745548
2024-01-04 12,350,5.6588840000000005,330,9.774436
2024-01-04 13,340,4.629996,350,7.71666
2024-01-04 14,350,5.14444,350,6.687772
2024-01-04 15,340,6.173328,340,5.6588840000000005
2024-01-04 16,340,4.629996,320,6.173328
2024-01-04 17,330,4.115552,340,5.6588840000000005
2024-01-04 18,310,4.115552,300,4.115552
2024-01-04 19,320,4.629996,330,3.601108
2024-01-04 20,300,2.057776,300,2.057776
